gene_name	Adrenal	Aorta	Esophagus	Fat	Gastric	Liver	Lung	Pancreas	Psoas	Right_ventricle	Colon	Small_intestines
ZNF217	1.1237	0.0	6.2179	8.4788	2.4818	5.4876	10.2801	1.131	1.6074	1.8964	1.1615	0.0
ZNF219	30.5359	8.8989	31.7749	34.357	12.1001	8.502	16.7583	5.8174	20.8071	24.3677	1.7257	5.3229
ZNF22	3.87	2.8461	4.3498	13.0629	5.4006	7.6765	11.1415	5.5773	8.9921	11.5212	1.1425	1.0148
ZNF221	1.4659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.166	0.0	0.0
ZNF222	1.4091	0.0	1.0859	1.1721	1.048	0.0	2.6116	0.0	1.9416	2.5621	0.0	0.0
ZNF223	1.6067	0.0	2.3794	2.8066	1.2051	1.2749	3.3555	1.0777	0.0	1.6807	0.0	0.0
ZNF224	4.1403	5.8266	3.2066	5.7722	2.0551	3.4039	6.1997	2.8526	1.3075	2.1028	0.0	1.3901
ZNF225	0.0	0.0	0.0	0.0	0.0	0.0	1.3019	0.0	0.0	0.0	0.0	0.0
ZNF226	7.7557	3.0984	9.2189	5.2177	6.8005	7.7593	7.4983	3.6122	3.306	9.6664	1.0446	2.4659
ZNF227	2.8297	1.1167	2.7841	2.89	1.8067	3.2304	3.7383	1.5945	2.247	3.0646	0.0	0.0
ZNF229	0.0	0.0	1.1045	1.3255	0.0	0.0	0.0	0.0	0.0	1.4923	0.0	0.0
ZNF23	5.5617	3.1963	2.425	2.5796	3.1696	1.689	3.3026	3.9213	3.4154	2.8582	0.0	0.0
ZNF230	0.0	0.0	0.0	1.6067	0.0	1.288	4.4723	0.0	0.0	1.1051	0.0	0.0
ZNF232	1.7439	1.3885	2.9603	2.6055	3.0064	2.3353	4.0916	1.9598	5.0432	2.6939	0.0	0.0
ZNF233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF234	1.0041	0.0	1.5116	1.3455	0.0	0.0	1.9549	0.0	1.1511	1.729	0.0	0.0
ZNF235	0.0	0.0	0.0	1.1817	0.0	0.0	1.265	0.0	1.3116	0.0	0.0	0.0
ZNF236	1.3341	0.0	1.2737	1.2694	0.0	0.0	1.9499	0.0	0.0	0.0	0.0	0.0
ZNF239	1.1791	0.0	0.0	2.0254	0.0	0.0	1.7467	1.3139	5.0296	0.0	0.0	0.0
ZNF24	5.4262	3.088	7.015	7.3615	4.2741	6.694	10.9655	4.1859	11.3748	6.5306	0.0	1.2613
ZNF248	2.8402	2.7308	2.4858	1.99	2.9696	1.5316	2.5952	2.1301	2.084	2.7264	0.0	0.0
ZNF25	1.8691	3.956	1.2615	2.8965	1.887	0.0	3.1848	2.2427	7.8927	2.9708	0.0	0.0
ZNF250	1.3046	2.3102	4.399	3.786	1.6084	2.072	3.4857	1.2506	2.2326	2.8029	0.0	0.0
ZNF251	7.1561	6.5526	4.3506	4.7722	4.1483	1.989	3.7727	6.6214	3.959	4.553	0.0	1.9921
ZNF252P	0.0	0.0	1.3996	4.767	1.6887	5.9121	3.6589	0.0	5.1376	2.8934	0.0	1.0085
ZNF253	1.0716	0.0	1.0843	2.9632	1.1538	1.8523	1.7603	0.0	2.9208	1.5653	0.0	0.0
